experiment,conclusion
01_system_closed_loop,PASS
02_large_scale_benchmark,PASS
03_variant_discrimination,PASS
04_six_dimension_effectiveness,PASS
05_human_gold_agreement,PASS
06_external_agent_generalization,PASS
07_prospective_temporal_decision,PASS
08_strong_baseline_comparison,PASS
09_evidence_tampering_detection,PASS
10_tee_integrity_replay,PASS
11_zk_proof_integrity,PASS
12_full_chain_ablation,PASS
13_appeal_correction_effectiveness,PASS
14_appeal_governance_benefit,PASS
15_malicious_governance_attack,PASS
16_fairness_subgroup_analysis,PASS
17_failure_case_typology,PASS
18_cost_scalability_stability,PASS
